datetime,open,high,low,close,volume
20250922  09:30:00,248.3,250.98,248.12,249.97,48113
20250922  09:35:00,249.99,251.28,249.77,250.35,27527
20250922  09:40:00,250.34,250.68,249.73,250.66,14810
20250922  09:45:00,250.65,250.71,250.02,250.16,13087
20250922  09:50:00,250.16,250.96,250.06,250.92,9366
20250922  09:55:00,250.93,251.35,250.83,251.09,12071
20250922  10:00:00,251.11,252.23,250.78,251.76,17125
20250922  10:05:00,251.76,251.79,251.03,251.32,8487
20250922  10:10:00,251.32,251.67,251.1,251.57,8229
20250922  10:15:00,251.57,252.4,251.47,251.78,11500
20250922  10:20:00,251.79,252.66,251.78,252.59,9503
20250922  10:25:00,252.59,252.74,252.12,252.67,8800
20250922  10:30:00,252.66,252.93,252.54,252.65,8454
20250922  10:35:00,252.66,252.7,252.08,252.28,7614
20250922  10:40:00,252.27,252.61,252.14,252.46,5968
20250922  10:45:00,252.45,253.13,252.34,252.98,7781
20250922  10:50:00,252.99,253.29,252.94,253.13,8035
20250922  10:55:00,253.15,253.69,253.12,253.6,8871
20250922  11:00:00,253.62,253.75,253.38,253.73,9546
20250922  11:05:00,253.72,254.5,253.64,254.43,16610
20250922  11:10:00,254.43,254.73,254.13,254.64,13436
20250922  11:15:00,254.64,254.98,254.58,254.84,12713
20250922  11:20:00,254.84,255.47,254.72,255.46,18064
20250922  11:25:00,255.45,256.08,255.26,255.79,16456
20250922  11:30:00,255.77,255.82,255.21,255.22,10300
20250922  11:35:00,255.22,255.35,254.92,255.2,11987
20250922  11:40:00,255.2,255.41,254.7,255.07,10027
20250922  11:45:00,255.08,255.58,255.03,255.51,7915
20250922  11:50:00,255.51,256.22,255.35,256.19,10251
20250922  11:55:00,256.19,256.64,255.95,256.05,14368
20250922  12:00:00,256.07,256.31,255.11,255.2,12308
20250922  12:05:00,255.2,255.51,254.91,254.98,9145
20250922  12:10:00,254.97,255.55,254.75,255.47,8491
20250922  12:15:00,255.47,255.51,254.35,254.44,9747
20250922  12:20:00,254.44,254.47,253.83,254.0,11032
20250922  12:25:00,253.99,254.05,253.58,253.72,7986
20250922  12:30:00,253.73,254.08,253.59,253.82,9236
20250922  12:35:00,253.81,253.94,253.16,253.7,7313
20250922  12:40:00,253.7,253.98,253.49,253.85,6296
20250922  12:45:00,253.85,253.87,253.41,253.52,4981
20250922  12:50:00,253.53,253.87,253.42,253.87,4354
20250922  12:55:00,253.87,254.22,253.7,254.21,5277
20250922  13:00:00,254.21,254.39,253.52,253.6,5308
20250922  13:05:00,253.62,254.26,253.59,254.06,4686
20250922  13:10:00,254.06,254.24,253.94,254.01,4032
20250922  13:15:00,254.01,254.38,253.99,254.34,3827
20250922  13:20:00,254.34,254.43,254.24,254.29,3220
20250922  13:25:00,254.3,254.73,253.93,254.59,5399
20250922  13:30:00,254.58,254.76,254.47,254.55,3385
20250922  13:35:00,254.55,254.78,254.23,254.72,4098
20250922  13:40:00,254.72,254.94,254.42,254.58,4210
20250922  13:45:00,254.58,254.62,254.01,254.1,3986
20250922  13:50:00,254.1,254.26,253.9,254.23,2414
20250922  13:55:00,254.21,254.23,253.97,254.11,2000
20250922  14:00:00,254.1,254.46,254.02,254.38,3682
20250922  14:05:00,254.39,254.66,254.31,254.6,2781
20250922  14:10:00,254.6,254.84,254.48,254.77,2934
20250922  14:15:00,254.76,254.93,254.73,254.73,2967
20250922  14:20:00,254.72,254.79,254.61,254.64,1958
20250922  14:25:00,254.64,255.26,254.63,255.25,4807
20250922  14:30:00,255.25,255.25,254.73,254.92,3824
20250922  14:35:00,254.92,255.63,254.9,255.58,5850
20250922  14:40:00,255.58,255.77,255.3,255.39,5700
20250922  14:45:00,255.39,255.69,255.37,255.65,4078
20250922  14:50:00,255.65,255.7,255.2,255.37,4449
20250922  14:55:00,255.36,255.46,255.09,255.4,3838
20250922  15:00:00,255.4,255.73,255.34,255.45,5730
20250922  15:05:00,255.45,255.67,255.42,255.51,3813
20250922  15:10:00,255.52,255.63,255.31,255.45,5005
20250922  15:15:00,255.45,255.83,255.4,255.78,4822
20250922  15:20:00,255.78,256.06,255.63,255.84,6524
20250922  15:25:00,255.85,255.93,255.64,255.79,4120
20250922  15:30:00,255.8,256.04,255.77,255.85,6718
20250922  15:35:00,255.86,256.04,255.73,255.84,6170
20250922  15:40:00,255.84,255.99,255.61,255.83,5645
20250922  15:45:00,255.82,256.11,255.77,256.05,6513
20250922  15:50:00,256.04,256.23,255.32,256.16,14519
20250922  15:55:00,256.18,256.26,255.85,256.09,33071
20250923  09:30:00,255.83,257.19,255.79,256.88,29809
20250923  09:35:00,256.88,257.34,255.89,256.51,11783
20250923  09:40:00,256.53,256.53,255.28,255.51,9453
20250923  09:45:00,255.47,256.32,255.47,255.97,7476
20250923  09:50:00,255.97,256.17,255.65,256.02,4232
20250923  09:55:00,256.02,256.66,255.91,256.2,8643
20250923  10:00:00,256.21,256.44,255.75,255.76,8444
20250923  10:05:00,255.76,255.96,255.52,255.81,3918
