Date,Close,Volume
2010-01-04,,
2010-01-05,,
2010-01-06,,
2010-01-07,,
2010-01-08,,
2010-01-11,,
2010-01-12,,
2010-01-13,,
2010-01-14,,
2010-01-15,,
2010-01-19,,
2010-01-20,,
2010-01-21,,
2010-01-22,,
2010-01-25,,
2010-01-26,,
2010-01-27,,
2010-01-28,,
2010-01-29,,
2010-02-01,,
2010-02-02,,
2010-02-03,,
2010-02-04,,
2010-02-05,,
2010-02-08,,
2010-02-09,,
2010-02-10,,
2010-02-11,,
2010-02-12,,
2010-02-16,,
2010-02-17,,
2010-02-18,,
2010-02-19,,
2010-02-22,,
2010-02-23,,
2010-02-24,,
2010-02-25,,
2010-02-26,,
2010-03-01,,
2010-03-02,,
2010-03-03,,
2010-03-04,,
2010-03-05,,
2010-03-08,,
2010-03-09,,
2010-03-10,,
2010-03-11,,
2010-03-12,,
2010-03-15,,
2010-03-16,,
2010-03-17,,
2010-03-18,,
2010-03-19,,
2010-03-22,,
2010-03-23,,
2010-03-24,,
2010-03-25,,
2010-03-26,,
2010-03-29,,
2010-03-30,,
2010-03-31,,
2010-04-01,,
2010-04-05,,
2010-04-06,,
2010-04-07,,
2010-04-08,,
2010-04-09,,
2010-04-12,,
2010-04-13,,
2010-04-14,,
2010-04-15,,
2010-04-16,,
2010-04-19,,
2010-04-20,,
2010-04-21,,
2010-04-22,,
2010-04-23,,
2010-04-26,,
2010-04-27,,
2010-04-28,,
2010-04-29,,
2010-04-30,,
2010-05-03,,
2010-05-04,,
2010-05-05,,
2010-05-06,,
2010-05-07,,
2010-05-10,,
2010-05-11,,
2010-05-12,,
2010-05-13,,
2010-05-14,,
2010-05-17,,
2010-05-18,,
2010-05-19,,
2010-05-20,,
2010-05-21,,
2010-05-24,,
2010-05-25,,
2010-05-26,,
2010-05-27,,
2010-05-28,,
2010-06-01,,
2010-06-02,,
2010-06-03,,
2010-06-04,,
2010-06-07,,
2010-06-08,,
2010-06-09,,
2010-06-10,,
2010-06-11,,
2010-06-14,,
2010-06-15,,
2010-06-16,,
2010-06-17,,
2010-06-18,,
2010-06-21,,
2010-06-22,,
2010-06-23,,
2010-06-24,,
2010-06-25,,
2010-06-28,,
2010-06-29,,
2010-06-30,,
2010-07-01,,
2010-07-02,,
2010-07-06,,
2010-07-07,,
2010-07-08,,
2010-07-09,,
2010-07-12,,
2010-07-13,,
2010-07-14,,
2010-07-15,,
2010-07-16,,
2010-07-19,,
2010-07-20,,
2010-07-21,,
2010-07-22,,
2010-07-23,,
2010-07-26,,
2010-07-27,,
2010-07-28,,
2010-07-29,,
2010-07-30,,
2010-08-02,,
2010-08-03,,
2010-08-04,,
2010-08-05,,
2010-08-06,,
2010-08-09,,
2010-08-10,,
2010-08-11,,
2010-08-12,,
2010-08-13,,
2010-08-16,,
2010-08-17,,
2010-08-18,,
2010-08-19,,
2010-08-20,,
2010-08-23,,
2010-08-24,,
2010-08-25,,
2010-08-26,,
2010-08-27,,
2010-08-30,,
2010-08-31,,
2010-09-01,,
2010-09-02,,
2010-09-03,,
2010-09-07,,
2010-09-08,,
2010-09-09,,
2010-09-10,,
2010-09-13,,
2010-09-14,,
2010-09-15,,
2010-09-16,,
2010-09-17,,
2010-09-20,,
2010-09-21,,
2010-09-22,,
2010-09-23,,
2010-09-24,,
2010-09-27,,
2010-09-28,,
2010-09-29,,
2010-09-30,,
2010-10-01,,
2010-10-04,,
2010-10-05,,
2010-10-06,,
2010-10-07,,
2010-10-08,,
2010-10-11,,
2010-10-12,,
2010-10-13,,
2010-10-14,,
2010-10-15,,
2010-10-18,,
2010-10-19,,
2010-10-20,,
2010-10-21,,
2010-10-22,,
2010-10-25,,
2010-10-26,,
2010-10-27,,
2010-10-28,,
2010-10-29,,
2010-11-01,,
2010-11-02,,
2010-11-03,,
2010-11-04,,
2010-11-05,,
2010-11-08,,
2010-11-09,,
2010-11-10,,
2010-11-11,,
2010-11-12,,
2010-11-15,,
2010-11-16,,
2010-11-17,,
2010-11-18,25.546812057495117,457044300.0
2010-11-19,25.599111557006836,107842000.0
2010-11-22,25.464618682861328,36650600.0
2010-11-23,24.844444274902344,31170200.0
2010-11-24,25.01629638671875,26138000.0
2010-11-26,25.255409240722656,12301200.0
2010-11-29,25.255409240722656,27776900.0
2010-11-30,25.554285049438477,57476900.0
2010-12-01,25.987661361694336,34633200.0
2010-12-02,25.912940979003906,23196100.0
2010-12-03,25.81580352783203,19395200.0
2010-12-06,25.76349639892578,11676500.0
2010-12-07,25.912940979003906,20823000.0
2010-12-08,25.741092681884766,12603900.0
2010-12-09,25.210580825805664,18402200.0
2010-12-10,25.26287078857422,11741700.0
2010-12-13,25.255409240722656,11029300.0
2010-12-14,25.32265281677246,15165600.0
2010-12-15,25.113435745239258,10182700.0
2010-12-16,25.113435745239258,9885700.0
2010-12-17,25.40484619140625,35681600.0
2010-12-20,25.225515365600586,12476400.0
2010-12-21,25.292755126953125,9012400.0
2010-12-22,26.09226417541504,20935100.0
2010-12-23,26.01007843017578,20529200.0
2010-12-27,25.853172302246094,7368300.0
2010-12-28,26.391155242919922,23489000.0
2010-12-29,26.9141902923584,20960800.0
2010-12-30,27.511953353881836,16980800.0
2010-12-31,27.541841506958008,6163900.0
2011-01-03,27.69129180908203,24874900.0
2011-01-04,28.31893539428711,32363400.0
2011-01-05,28.445951461791992,22503900.0
2011-01-06,29.06612205505371,38556900.0
2011-01-07,29.125911712646484,19901100.0
2011-01-10,28.812089920043945,18341600.0
2011-01-11,28.95404624938965,14856500.0
2011-01-12,28.856908798217773,16773900.0
2011-01-13,28.595396041870117,11358300.0
2011-01-14,28.543087005615234,5894200.0
2011-01-18,28.41605567932129,8918200.0
2011-01-19,27.945322036743164,12667700.0
2011-01-20,27.78095054626465,15844900.0
2011-01-21,27.825777053833008,9548500.0
2011-01-24,28.124650955200195,12202800.0
2011-01-25,28.692529678344727,12318700.0
2011-01-26,28.31144905090332,11534600.0
2011-01-27,28.894268035888672,13950000.0
2011-01-28,27.347566604614258,37134600.0
2011-01-31,27.265378952026367,13954800.0
2011-02-01,27.235490798950195,28091600.0
2011-02-02,26.660144805908203,17434700.0
2011-02-03,26.94408416748047,19350000.0
2011-02-04,27.340091705322266,11115000.0
2011-02-07,27.42228889465332,7328800.0
2011-02-08,27.56425666809082,6243000.0
2011-02-09,27.205591201782227,6399300.0
2011-02-10,26.809589385986328,11542400.0
2011-02-11,27.235490798950195,13508300.0
2011-02-14,27.11593246459961,7121200.0
2011-02-15,26.98143768310547,10336500.0
2011-02-16,27.459653854370117,8680900.0
2011-02-17,27.17570686340332,7463000.0
2011-02-18,27.280317306518555,6815800.0
2011-02-22,26.727388381958008,13937400.0
2011-02-23,25.845693588256836,28192500.0
2011-02-24,24.672592163085938,63562800.0
